STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT11,WT13,WT16,WT18,WT19,WT22
USW00024257,"REDDING AIRPORT, CA US",1/1/10,4.47,1057,1057,0.26,,,,52,45,190,190,0,14.1,17.9,1,,,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",1/2/10,3.13,1419,2133,0,,,,58,43,360,320,0,8.1,10.1,1,,,,,,,,,1,,,,
USW00024257,"REDDING AIRPORT, CA US",1/3/10,3.13,1420,507,0,,,,52,34,160,320,0,8.1,10.1,1,,,,,,,,,1,,,,
USW00024257,"REDDING AIRPORT, CA US",1/4/10,0.67,1709,1658,0,,,,57,31,140,130,0,4.9,6,1,1,,,,,,1,,1,,,,
USW00024257,"REDDING AIRPORT, CA US",1/5/10,0.22,2242,2243,0,,,,60,38,280,280,0,6,6.9,1,,,,,,1,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",1/6/10,2.01,1003,934,0,,,,47,39,140,140,0,6.9,8.9,1,1,,,1,,,1,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",1/7/10,1.57,655,659,0,,,,45,38,270,280,0,6.9,8.1,1,1,,,,,,1,,1,,,,
USW00024257,"REDDING AIRPORT, CA US",1/8/10,2.01,1547,1542,0.11,,,,47,41,270,270,0,8.1,10.1,1,1,,,1,,,1,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",1/9/10,1.79,1050,1345,0.03,,,,55,35,280,270,0,8.9,13,1,1,,,,,,1,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",1/10/10,0.67,2248,2240,0,,,,58,44,120,120,0,6.9,8.9,1,1,,,,,,1,,1,,,,
USW00024257,"REDDING AIRPORT, CA US",1/11/10,1.12,2210,2209,0,,,,48,45,80,80,0,8.1,10.1,1,1,,,1,,,1,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",1/12/10,7.83,2230,2231,1.24,,,,56,45,170,160,0,32,42.9,1,,,,1,,1,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",1/13/10,6.26,12,11,0.01,,,,60,41,180,180,0,23.9,30,1,,,,,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",1/14/10,3.13,1305,1256,0,,,,62,37,20,20,0,8.1,10.1,1,,,,,,,,,1,,,,
USW00024257,"REDDING AIRPORT, CA US",1/15/10,0.89,2327,,0,,,,53,41,200,,0,6.9,,1,,,,,,,,,1,,,,
