,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,Year,Month,Day
0,1/1/10,4.47,0.26,0,0,48.5,52,45,190,190,14.1,17.9,2010,1,1
1,1/2/10,3.13,0,0,0,50.5,58,43,360,320,8.1,10.1,2010,1,2
2,1/3/10,3.13,0,0,0,43,52,34,160,320,8.1,10.1,2010,1,3
3,1/4/10,0.67,0,0,0,44,57,31,140,130,4.9,6,2010,1,4
4,1/5/10,0.22,0,0,0,49,60,38,280,280,6,6.9,2010,1,5
5,1/6/10,2.01,0,0,0,43,47,39,140,140,6.9,8.9,2010,1,6
6,1/7/10,1.57,0,0,0,41.5,45,38,270,280,6.9,8.1,2010,1,7
7,1/8/10,2.01,0.11,0,0,44,47,41,270,270,8.1,10.1,2010,1,8
8,1/9/10,1.79,0.03,0,0,45,55,35,280,270,8.9,13,2010,1,9
9,1/10/10,0.67,0,0,0,51,58,44,120,120,6.9,8.9,2010,1,10
10,1/11/10,1.12,0,0,0,46.5,48,45,80,80,8.1,10.1,2010,1,11
11,1/12/10,7.83,1.24,0,0,50.5,56,45,170,160,32,42.9,2010,1,12
12,1/13/10,6.26,0.01,0,0,50.5,60,41,180,180,23.9,30,2010,1,13
13,1/14/10,3.13,0,0,0,49.5,62,37,20,20,8.1,10.1,2010,1,14
14,1/15/10,0.89,0,0,0,47,53,41,200,200,6.9,6.9,2010,1,15
15,1/16/10,1.57,0.08,0,0,48.5,57,40,210,210,8.9,13,2010,1,16
16,1/17/10,15.66,0.4,0,0,49.5,52,47,170,170,34.9,47,2010,1,17
17,1/18/10,22.37,0.66,0,0,51,53,49,170,180,40,49,2010,1,18
18,1/19/10,25.28,0.63,0,0,48,51,45,170,180,47,61.1,2010,1,19
19,1/20/10,23.71,1.14,0,0,45.5,48,43,150,150,38.9,49,2010,1,20
20,1/21/10,9.17,0.18,0,0,44,46,42,170,180,36,48.1,2010,1,21
