,Date,Clouds
0,2016-11-26,1
1,2010-02-01,1
2,2019-03-06,1
3,2019-02-14,1
4,2018-11-29,1
5,2012-10-31,1
6,2010-05-25,1
7,2014-03-28,1
8,2016-01-17,1
9,2014-02-06,1
10,2020-12-13,1
11,2019-01-07,1
12,2020-12-15,1
13,2019-11-26,1
14,2018-10-01,1
15,2010-11-21,1
16,2010-12-19,1
17,2013-03-06,1
18,2017-04-17,1
19,2013-05-07,1
20,2014-11-28,1
21,2020-08-16,1
22,2018-01-04,1
23,2021-05-15,1
24,2012-11-17,1
25,2017-11-02,1
26,2020-11-15,1
27,2013-05-16,1
28,2019-04-08,1
29,2019-08-10,1
30,2021-03-18,1
31,2012-01-19,1
32,2016-01-06,1
33,2012-12-20,1
34,2014-12-01,1
35,2013-06-25,1
36,2016-11-30,1
37,2021-12-08,1
38,2014-02-13,1
39,2019-05-21,1
40,2010-02-11,1
41,2015-01-17,1
42,2015-02-05,1
43,2010-12-25,1
44,2010-01-09,1
45,2012-01-18,1
46,2020-05-18,1
47,2012-05-03,1
48,2017-01-19,1
49,2016-10-14,1
50,2010-03-12,1
51,2012-12-11,1
52,2015-09-14,1
53,2020-01-12,1
54,2016-03-13,1
55,2012-12-25,1
56,2012-10-24,1
57,2014-02-28,1
58,2016-10-31,1
59,2014-10-25,1
60,2014-12-16,1
61,2016-03-10,1
62,2010-03-28,1
63,2016-10-17,1
64,2019-02-23,1
65,2010-10-30,1
66,2019-09-22,1
67,2021-12-06,1
68,2017-04-12,1
69,2011-10-04,1
70,2018-04-28,1
71,2020-03-07,1
72,2010-10-17,1
73,2012-03-27,1
74,2015-12-11,1
75,2019-05-15,1
76,2019-03-10,1
77,2018-12-23,1
78,2011-11-03,1
79,2013-11-20,1
80,2011-04-18,1
81,2014-12-06,1
82,2018-03-20,1
83,2011-02-24,1
84,2011-03-30,1
85,2013-01-26,1
86,2016-12-13,1
87,2015-01-16,1
88,2014-03-05,1
89,2021-07-27,1
90,2016-11-15,1
91,2010-06-04,1
92,2019-02-11,1
93,2010-01-25,1
94,2013-04-01,1
95,2010-01-23,1
96,2011-11-18,1
97,2016-11-20,1
98,2014-02-08,1
99,2010-12-17,1
100,2021-11-09,1
101,2010-04-14,1
102,2015-09-15,1
103,2019-02-04,1
104,2012-12-23,1
105,2010-12-02,1
106,2017-03-04,1
107,2021-09-18,1
108,2013-06-23,1
109,2020-05-12,1
110,2010-01-22,1
111,2019-12-05,1
112,2017-02-20,1
113,2012-11-16,1
114,2014-02-07,1
115,2021-10-23,1
116,2014-12-19,1
117,2014-02-15,1
118,2012-01-20,1
119,2014-03-26,1
120,2019-12-18,1
121,2013-10-28,1
122,2020-01-24,1
123,2021-03-15,1
124,2015-12-17,1
125,2014-11-19,1
126,2012-03-29,1
127,2019-04-05,1
128,2019-03-27,1
129,2020-11-17,1
130,2017-02-01,1
131,2018-12-24,1
132,2011-03-27,1
133,2014-12-21,1
134,2016-03-12,1
135,2014-04-21,1
136,2019-02-10,1
137,2019-12-17,1
138,2014-12-03,1
139,2018-04-06,1
140,2016-03-07,1
141,2019-03-05,1
142,2021-12-16,1
143,2013-03-19,1
144,2019-12-06,1
145,2021-02-01,1
146,2012-06-04,1
147,2011-03-18,1
148,2021-11-06,1
149,2021-12-23,1
150,2011-06-04,1
151,2011-03-20,1
152,2020-05-30,1
153,2012-12-21,1
154,2018-01-08,1
155,2020-05-13,1
156,2015-04-07,1
157,2016-01-29,1
158,2017-02-03,1
159,2013-05-05,1
160,2019-12-04,1
161,2015-11-24,1
162,2016-01-14,1
163,2019-01-06,1
164,2015-03-15,1
165,2019-03-20,1
166,2020-12-25,1
167,2021-03-14,1
168,2015-12-13,1
169,2019-03-28,1
170,2016-01-11,1
171,2013-09-21,1
172,2016-03-29,1
173,2010-04-10,1
174,2010-01-12,1
175,2010-02-10,1
176,2012-12-15,1
177,2021-11-01,1
178,2016-10-15,1
179,2019-12-07,1
180,2021-03-09,1
181,2015-02-02,1
182,2014-11-29,1
183,2018-01-21,1
184,2018-12-20,1
185,2010-12-10,1
186,2019-02-25,1
187,2014-12-18,1
188,2019-01-19,1
189,2011-01-14,1
190,2019-12-22,1
191,2017-04-06,1
192,2011-03-23,1
193,2014-03-25,1
194,2018-11-22,1
195,2010-12-28,1
196,2020-01-27,1
197,2010-12-24,1
198,2014-03-02,1
199,2017-06-12,1
200,2011-04-25,1
201,2010-11-20,1
202,2010-05-10,1
203,2010-01-18,1
204,2011-03-25,1
205,2016-01-04,1
206,2012-11-19,1
207,2011-05-31,1
208,2019-02-08,1
209,2010-03-08,1
210,2014-03-04,1
211,2019-12-12,1
212,2011-05-25,1
213,2020-01-22,1
214,2011-10-05,1
215,2010-03-30,1
216,2011-03-06,1
217,2012-03-21,1
218,2015-05-12,1
219,2012-04-13,1
220,2016-01-23,1
221,2017-02-18,1
222,2015-11-01,1
223,2017-03-26,1
224,2018-11-21,1
225,2019-11-30,1
226,2016-04-11,1
227,2018-03-03,1
228,2018-03-14,1
229,2016-04-10,1
230,2012-03-31,1
231,2012-01-06,1
232,2010-12-11,1
233,2011-01-13,1
234,2011-05-17,1
235,2010-10-24,1
236,2020-05-17,1
237,2017-03-24,1
238,2020-11-13,1
239,2016-05-06,1
240,2016-11-22,1
241,2017-04-26,1
242,2019-12-29,1
243,2010-12-21,1
244,2013-10-29,1
245,2019-02-26,1
246,2011-05-15,1
247,2021-03-19,1
248,2016-10-25,1
249,2010-05-19,1
250,2020-03-28,1
251,2015-05-15,1
252,2010-02-03,1
253,2011-03-24,1
254,2012-10-22,1
255,2011-06-06,1
256,2017-03-15,1
257,2018-01-24,1
258,2011-09-25,1
259,2021-10-21,1
260,2010-12-20,1
261,2018-01-29,1
262,2017-06-08,1
263,2015-10-28,1
264,2010-04-02,1
265,2020-01-23,1
266,2016-01-12,1
267,2017-02-09,1
268,2021-01-31,1
269,2018-02-28,1
270,2012-03-14,1
271,2021-12-12,1
272,2012-04-25,1
273,2019-05-22,1
274,2014-12-20,1
275,2015-03-16,1
276,2015-11-09,1
277,2016-04-12,1
278,2016-12-14,1
279,2018-03-21,1
280,2019-12-02,1
281,2019-11-27,1
282,2014-06-26,1
283,2019-01-18,1
284,2014-12-02,1
285,2020-01-21,1
286,2018-11-23,1
287,2019-04-01,1
288,2011-11-23,1
289,2017-03-07,1
290,2014-01-06,1
291,2019-04-04,1
292,2018-01-18,1
293,2014-12-04,1
294,2010-11-07,1
295,2015-03-14,1
296,2016-10-30,1
297,2020-03-30,1
298,2017-11-26,1
299,2010-11-19,1
300,2011-10-10,1
301,2015-03-11,1
302,2014-02-09,1
303,2017-02-16,1
304,2019-03-03,1
305,2011-02-21,1
306,2014-04-27,1
307,2015-05-19,1
308,2021-01-30,1
309,2013-01-05,1
310,2011-10-01,1
311,2013-06-24,1
312,2012-03-26,1
313,2014-06-25,1
314,2017-12-24,1
315,2012-03-25,1
316,2019-03-02,1
317,2015-05-20,1
318,2019-02-15,1
319,2017-03-18,1
320,2021-01-04,1
321,2017-01-25,1
322,2016-05-03,1
323,2021-10-18,1
324,2016-05-20,1
325,2012-11-29,1
326,2012-01-26,1
327,2021-01-24,1
328,2017-02-02,1
329,2012-11-18,1
330,2015-12-09,1
331,2016-02-03,1
332,2014-11-20,1
333,2014-10-17,1
334,2014-04-04,1
335,2012-03-22,1
336,2013-06-10,1
337,2017-11-08,1
338,2020-11-22,1
339,2018-01-05,1
340,2011-02-28,1
341,2021-01-03,1
342,2011-02-16,1
343,2015-03-24,1
344,2016-03-08,1
345,2019-04-14,1
346,2014-03-31,1
347,2016-01-19,1
348,2019-12-13,1
349,2018-01-11,1
350,2019-02-12,1
351,2021-02-19,1
352,2011-04-17,1
353,2012-11-08,1
354,2014-12-11,1
355,2012-04-11,1
356,2011-07-18,1
357,2019-03-22,1
358,2014-08-05,1
359,2011-06-29,1
360,2010-11-27,1
361,2012-11-30,1
362,2018-04-10,1
363,2012-12-01,1
364,2017-01-09,1
365,2021-12-27,1
366,2011-01-01,1
367,2011-11-17,1
368,2021-01-27,1
369,2019-02-02,1
370,2016-10-28,1
371,2012-02-20,1
372,2016-05-22,1
373,2010-10-23,1
374,2016-12-15,1
375,2012-03-18,1
376,2019-12-11,1
377,2012-12-04,1
378,2010-04-11,1
379,2014-01-11,1
380,2016-01-24,1
381,2013-03-28,1
382,2014-02-26,1
383,2020-06-15,1
384,2016-12-23,1
385,2017-11-12,1
386,2011-04-07,1
387,2017-02-06,1
388,2017-11-15,1
389,2021-12-26,1
390,2021-12-13,1
391,2010-10-04,1
392,2011-02-17,1
393,2010-08-28,1
394,2020-03-18,1
395,2018-05-16,1
396,2010-02-26,1
397,2010-11-09,1
398,2019-04-07,1
399,2021-10-26,1
400,2015-12-02,1
401,2018-03-13,1
402,2011-03-03,1
403,2019-04-06,1
404,2018-11-27,1
405,2019-01-05,1
406,2021-11-05,1
407,2016-12-09,1
408,2021-02-15,1
409,2015-01-15,1
410,2017-02-17,1
411,2018-04-16,1
412,2013-02-07,1
413,2014-01-29,1
414,2021-11-04,1
415,2017-04-07,1
416,2020-11-18,1
417,2018-01-10,1
418,2021-12-29,1
419,2010-05-27,1
420,2015-12-30,1
421,2010-03-03,1
422,2016-10-24,1
423,2011-05-16,1
424,2017-02-04,1
425,2014-10-14,1
426,2012-03-20,1
427,2014-03-03,1
428,2017-12-02,1
429,2010-03-29,1
430,2021-10-24,1
431,2013-05-27,1
432,2012-02-29,1
433,2017-01-31,1
434,2017-11-03,1
435,2020-01-15,1
436,2019-02-13,1
437,2010-03-25,1
438,2010-05-17,1
439,2016-10-16,1
440,2015-12-24,1
441,2016-03-11,1
442,2021-01-12,1
443,2014-02-12,1
444,2019-05-18,1
445,2017-03-19,1
446,2018-04-11,1
447,2020-01-01,1
448,2014-04-01,1
449,2017-03-06,1
450,2010-04-13,1
451,2020-03-17,1
452,2013-03-20,1
453,2010-02-04,1
454,2019-02-27,1
455,2018-03-04,1
456,2011-04-23,1
457,2010-12-26,1
458,2016-03-05,1
459,2011-06-28,1
460,2017-02-19,1
461,2021-01-02,1
462,2014-12-24,1
463,2016-01-16,1
464,2013-01-24,1
465,2021-12-22,1
466,2017-03-22,1
467,2010-12-18,1
468,2011-03-22,1
469,2011-04-20,1
470,2017-01-07,1
471,2010-03-02,1
472,2017-04-16,1
473,2020-01-14,1
474,2014-11-30,1
475,2015-09-16,1
476,2015-12-21,1
477,2015-12-20,1
478,2014-10-20,1
479,2020-03-24,1
480,2015-12-12,1
481,2017-01-10,1
