,Date,Clouds
0,2013-04-12,0
1,2012-04-22,0
2,2014-04-28,0
3,2012-08-26,0
4,2017-09-11,0
5,2020-10-11,0
6,2014-09-11,0
7,2012-10-14,0
8,2013-11-21,0
9,2015-06-07,0
10,2021-07-22,0
11,2012-01-23,0
12,2021-04-06,0
13,2018-01-13,0
14,2016-11-27,0
15,2015-10-24,0
16,2017-07-07,0
17,2013-04-10,0
18,2013-10-07,0
19,2018-05-08,0
20,2020-12-11,0
21,2019-02-20,0
22,2015-08-14,0
23,2013-06-11,0
24,2018-05-30,0
25,2019-05-03,0
26,2016-09-13,0
27,2013-07-25,0
28,2020-08-18,0
29,2012-02-17,0
30,2013-12-29,0
31,2016-12-16,0
32,2011-04-09,0
33,2013-07-06,0
34,2011-04-22,0
35,2018-05-06,0
36,2013-08-09,0
37,2018-07-22,0
38,2011-01-04,0
39,2012-01-01,0
40,2016-07-27,0
41,2011-12-04,0
42,2017-08-25,0
43,2019-05-28,0
44,2010-08-22,0
45,2013-07-10,0
46,2020-12-24,0
47,2021-08-13,0
48,2015-04-22,0
49,2014-07-12,0
50,2021-06-09,0
51,2011-09-30,0
52,2012-08-20,0
53,2016-11-08,0
54,2011-04-26,0
55,2012-11-05,0
56,2013-08-06,0
57,2014-06-07,0
58,2018-08-22,0
59,2020-04-03,0
60,2010-01-28,0
61,2013-12-01,0
62,2021-07-07,0
63,2020-06-04,0
64,2013-10-03,0
65,2014-09-15,0
66,2020-04-08,0
67,2013-04-06,0
68,2017-10-17,0
69,2021-10-09,0
70,2016-06-13,0
71,2016-05-29,0
72,2015-06-13,0
73,2018-09-11,0
74,2020-08-06,0
75,2013-12-19,0
76,2021-06-28,0
77,2019-01-13,0
78,2015-07-07,0
79,2020-11-09,0
80,2021-04-04,0
81,2015-12-28,0
82,2013-06-28,0
83,2012-06-06,0
84,2013-05-30,0
85,2016-03-24,0
86,2016-07-20,0
87,2012-10-04,0
88,2019-05-10,0
89,2021-05-14,0
90,2014-01-08,0
91,2012-09-18,0
92,2016-02-29,0
93,2016-05-13,0
94,2010-10-18,0
95,2010-09-21,0
96,2020-12-01,0
97,2020-09-03,0
98,2017-02-28,0
99,2010-10-02,0
100,2012-06-29,0
101,2010-07-15,0
102,2021-07-17,0
103,2016-04-06,0
104,2019-09-20,0
105,2011-01-18,0
106,2021-05-07,0
107,2013-04-30,0
108,2011-01-10,0
109,2016-09-30,0
110,2013-11-28,0
111,2013-08-19,0
112,2020-02-16,0
113,2018-09-04,0
114,2011-04-21,0
115,2013-08-15,0
116,2012-09-19,0
117,2020-02-14,0
118,2017-09-28,0
119,2013-09-07,0
120,2020-09-09,0
121,2012-06-21,0
122,2013-05-03,0
123,2015-10-22,0
124,2020-06-20,0
125,2016-02-26,0
126,2014-05-13,0
127,2011-04-11,0
128,2016-09-06,0
129,2017-04-18,0
130,2020-02-29,0
131,2015-11-06,0
132,2019-10-20,0
133,2014-06-11,0
134,2020-12-20,0
135,2016-07-29,0
136,2021-02-22,0
137,2016-01-08,0
138,2012-05-27,0
139,2014-02-11,0
140,2010-11-03,0
141,2017-12-15,0
142,2016-06-02,0
143,2011-08-27,0
144,2019-07-22,0
145,2018-02-08,0
146,2017-05-29,0
147,2016-07-14,0
148,2019-01-27,0
149,2018-07-27,0
150,2021-06-29,0
151,2021-09-14,0
152,2019-06-22,0
153,2018-06-26,0
154,2017-06-18,0
155,2017-10-27,0
156,2015-08-08,0
157,2016-07-13,0
158,2017-08-07,0
159,2021-03-03,0
160,2019-05-08,0
161,2010-02-25,0
162,2014-08-21,0
163,2017-05-05,0
164,2018-02-04,0
165,2016-08-28,0
166,2019-12-28,0
167,2019-10-17,0
168,2010-07-11,0
169,2019-05-11,0
170,2012-08-16,0
171,2017-08-26,0
172,2020-08-14,0
173,2013-01-20,0
174,2019-11-16,0
175,2010-10-19,0
176,2021-11-25,0
177,2018-12-31,0
178,2013-03-30,0
179,2015-09-21,0
180,2020-06-24,0
181,2016-06-10,0
182,2014-09-20,0
183,2020-06-22,0
184,2021-12-10,0
185,2011-08-26,0
186,2017-05-19,0
187,2010-09-04,0
188,2019-09-17,0
189,2020-08-03,0
190,2017-03-28,0
191,2010-10-06,0
192,2015-10-07,0
193,2011-11-30,0
194,2011-07-19,0
195,2015-04-10,0
196,2019-04-24,0
197,2016-08-27,0
198,2014-07-16,0
199,2017-09-08,0
200,2010-07-14,0
201,2021-08-04,0
202,2010-05-13,0
203,2014-05-29,0
204,2012-09-09,0
205,2020-08-28,0
206,2021-09-23,0
207,2014-02-16,0
208,2017-09-09,0
209,2013-12-15,0
210,2017-07-31,0
211,2011-01-09,0
212,2013-11-05,0
213,2015-03-07,0
214,2020-09-28,0
215,2021-07-13,0
216,2011-11-10,0
217,2019-01-28,0
218,2012-04-28,0
219,2016-02-17,0
220,2016-06-29,0
221,2020-08-15,0
222,2016-09-02,0
223,2021-03-12,0
224,2013-07-23,0
225,2011-09-20,0
226,2017-09-02,0
227,2010-12-12,0
228,2013-02-21,0
229,2020-04-02,0
230,2013-07-21,0
231,2020-03-03,0
232,2019-10-31,0
233,2012-01-05,0
234,2011-08-02,0
235,2014-01-07,0
236,2017-10-23,0
237,2018-10-15,0
238,2015-11-21,0
239,2019-02-21,0
240,2019-08-21,0
241,2018-10-26,0
242,2021-10-16,0
243,2017-08-17,0
244,2015-06-15,0
245,2015-06-24,0
246,2010-11-14,0
247,2018-03-19,0
248,2013-02-18,0
249,2010-07-22,0
250,2012-08-12,0
251,2010-03-23,0
252,2011-02-03,0
253,2013-04-22,0
254,2018-09-15,0
255,2020-02-18,0
256,2020-11-11,0
257,2011-02-12,0
258,2013-11-15,0
259,2013-02-03,0
260,2019-10-29,0
261,2016-03-30,0
262,2014-10-29,0
263,2019-07-04,0
264,2016-07-22,0
265,2010-10-14,0
266,2021-09-29,0
267,2011-12-17,0
268,2017-04-28,0
269,2020-05-27,0
270,2012-10-26,0
271,2011-10-15,0
272,2010-07-26,0
273,2013-12-14,0
274,2015-03-26,0
275,2016-05-14,0
276,2020-11-10,0
277,2013-09-09,0
278,2021-10-03,0
279,2015-11-29,0
280,2012-08-27,0
281,2015-08-13,0
282,2019-07-25,0
283,2011-02-26,0
284,2010-05-07,0
285,2012-05-16,0
286,2021-07-12,0
287,2019-05-09,0
288,2014-04-08,0
289,2012-10-05,0
290,2016-02-16,0
291,2020-06-29,0
292,2013-04-28,0
293,2018-08-19,0
294,2013-02-23,0
295,2019-07-14,0
296,2010-08-23,0
297,2015-05-30,0
298,2016-09-25,0
299,2018-08-26,0
300,2011-12-22,0
301,2021-07-25,0
302,2013-04-16,0
303,2016-07-02,0
304,2018-11-14,0
305,2011-07-07,0
306,2014-12-27,0
307,2013-04-03,0
308,2010-06-16,0
309,2012-04-19,0
310,2013-08-01,0
311,2014-08-27,0
312,2018-05-10,0
313,2014-09-26,0
314,2013-06-08,0
315,2018-11-08,0
316,2019-05-04,0
317,2015-03-09,0
318,2013-12-25,0
319,2021-04-22,0
320,2014-07-19,0
321,2010-02-22,0
322,2017-08-09,0
323,2019-12-16,0
324,2019-01-21,0
325,2013-03-17,0
326,2019-03-11,0
327,2019-12-14,0
328,2014-02-19,0
329,2018-01-07,0
330,2013-09-06,0
331,2021-12-01,0
332,2011-07-02,0
333,2017-07-20,0
334,2013-03-11,0
335,2021-06-20,0
336,2020-10-23,0
337,2011-02-05,0
338,2013-06-19,0
339,2016-05-30,0
340,2021-10-02,0
341,2012-03-04,0
342,2015-04-16,0
343,2013-07-07,0
344,2014-02-22,0
345,2015-09-11,0
346,2010-01-14,0
347,2020-07-02,0
348,2016-03-31,0
349,2013-03-24,0
350,2014-07-22,0
351,2014-09-17,0
352,2014-10-01,0
353,2017-12-31,0
354,2017-11-22,0
355,2019-07-11,0
356,2016-07-03,0
357,2021-08-14,0
358,2014-07-24,0
359,2018-02-10,0
360,2012-04-29,0
361,2014-04-12,0
362,2010-09-28,0
363,2015-11-18,0
364,2010-07-07,0
365,2016-02-27,0
366,2011-04-29,0
367,2020-10-26,0
368,2015-04-25,0
369,2018-06-20,0
370,2010-09-15,0
371,2010-11-29,0
372,2013-04-18,0
373,2012-06-25,0
374,2016-09-21,0
375,2016-11-24,0
376,2012-08-01,0
377,2017-11-18,0
378,2012-07-22,0
379,2020-04-16,0
380,2013-05-17,0
381,2010-08-27,0
382,2017-07-02,0
383,2015-01-31,0
384,2015-12-01,0
385,2014-10-13,0
386,2015-07-25,0
387,2013-06-16,0
388,2013-06-22,0
389,2021-02-23,0
390,2011-08-19,0
391,2010-04-07,0
392,2012-04-04,0
393,2016-10-10,0
