,Date,Fire
0,2013-04-12,0
1,2012-04-22,0
2,2010-02-01,0
3,2014-04-28,0
4,2014-03-01,0
5,2012-08-26,0
6,2017-09-11,0
7,2019-09-18,0
8,2020-10-11,0
9,2014-09-11,0
10,2019-02-14,0
11,2012-10-14,0
12,2013-11-21,0
13,2015-06-07,0
14,2018-03-10,0
15,2018-11-29,0
16,2021-07-22,0
17,2018-12-04,0
18,2018-01-13,0
19,2021-04-06,0
20,2016-11-27,0
21,2015-10-24,0
22,2020-12-15,0
23,2017-07-07,0
24,2013-04-10,0
25,2019-01-07,0
26,2010-12-19,0
27,2018-05-08,0
28,2020-12-11,0
29,2021-01-13,0
30,2019-02-20,0
31,2017-04-17,0
32,2013-05-07,0
33,2020-08-16,0
34,2015-08-14,0
35,2013-06-11,0
36,2018-05-30,0
37,2017-11-02,0
38,2019-05-03,0
39,2016-09-13,0
40,2012-06-05,0
41,2020-11-15,0
42,2013-05-16,0
43,2019-04-08,0
44,2011-03-09,0
45,2013-07-25,0
46,2020-08-18,0
47,2012-02-17,0
48,2013-12-29,0
49,2016-12-16,0
50,2011-04-09,0
51,2013-07-06,0
52,2016-11-30,0
53,2018-05-06,0
54,2013-08-09,0
55,2018-07-22,0
56,2011-01-04,0
57,2012-01-01,0
58,2010-02-11,0
59,2011-12-04,0
60,2016-07-27,0
61,2017-08-25,0
62,2020-04-09,0
63,2019-05-28,0
64,2010-08-22,0
65,2013-07-10,0
66,2020-12-24,0
67,2015-04-22,0
68,2012-01-18,0
69,2012-05-03,0
70,2014-07-12,0
71,2021-06-09,0
72,2010-03-12,0
73,2011-09-30,0
74,2012-08-20,0
75,2016-11-08,0
76,2016-03-13,0
77,2012-12-25,0
78,2011-04-26,0
79,2012-11-05,0
80,2013-08-06,0
81,2014-06-07,0
82,2018-08-22,0
83,2016-10-31,0
84,2020-04-03,0
85,2020-11-08,0
86,2014-10-25,0
87,2021-07-07,0
88,2020-06-04,0
89,2013-10-03,0
90,2018-04-12,0
91,2014-09-15,0
92,2016-10-17,0
93,2020-04-08,0
94,2019-02-23,0
95,2017-10-17,0
96,2021-10-09,0
97,2016-06-13,0
98,2016-05-29,0
99,2015-06-13,0
100,2018-09-11,0
101,2020-08-06,0
102,2012-11-13,0
103,2013-12-19,0
104,2015-07-03,0
105,2021-06-28,0
106,2021-10-30,0
107,2019-01-13,0
108,2015-07-07,0
109,2020-11-09,0
110,2021-04-04,0
111,2015-12-28,0
112,2013-06-28,0
113,2012-06-06,0
114,2013-05-30,0
115,2016-03-24,0
116,2016-07-20,0
117,2019-09-29,0
118,2012-10-04,0
119,2019-05-10,0
120,2021-05-14,0
121,2015-01-16,0
122,2020-08-17,0
123,2011-01-08,0
124,2012-09-18,0
125,2016-02-29,0
126,2016-05-13,0
127,2010-10-18,0
128,2010-09-21,0
129,2011-06-02,0
130,2016-11-15,0
131,2010-01-25,0
132,2013-04-01,0
133,2020-12-01,0
134,2011-11-18,0
135,2020-09-03,0
136,2017-02-28,0
137,2010-10-02,0
138,2012-06-29,0
139,2010-07-15,0
140,2021-07-17,0
141,2016-04-06,0
142,2019-09-20,0
143,2011-01-18,0
144,2021-05-07,0
145,2013-04-30,0
146,2016-11-20,0
147,2011-01-10,0
148,2012-07-19,0
149,2016-09-30,0
150,2013-11-28,0
151,2012-12-08,0
152,2013-08-19,0
153,2015-11-17,0
154,2021-06-14,0
155,2021-11-09,0
156,2017-05-31,0
157,2018-09-04,0
158,2020-03-25,0
159,2011-04-21,0
160,2012-12-23,0
161,2012-09-19,0
162,2013-08-15,0
163,2018-12-01,0
164,2020-02-14,0
165,2017-09-28,0
166,2013-09-07,0
167,2012-06-21,0
168,2013-05-03,0
169,2015-10-22,0
170,2014-02-07,0
171,2020-06-20,0
172,2021-05-22,0
173,2016-02-26,0
174,2021-10-23,0
175,2020-06-13,0
176,2012-01-20,0
177,2014-03-26,0
178,2014-05-13,0
179,2019-12-18,0
180,2011-04-11,0
181,2016-09-06,0
182,2015-12-17,0
183,2019-04-05,0
184,2020-02-29,0
185,2015-11-06,0
186,2019-10-20,0
187,2014-06-11,0
188,2011-06-01,0
189,2019-03-26,0
190,2016-07-29,0
191,2016-03-07,0
192,2021-02-22,0
193,2016-01-08,0
194,2021-12-16,0
195,2012-05-27,0
196,2019-12-06,0
197,2017-12-15,0
198,2016-06-02,0
199,2011-08-27,0
200,2017-05-06,0
201,2019-07-22,0
202,2018-02-08,0
203,2017-05-29,0
204,2021-11-06,0
205,2016-05-04,0
206,2016-07-14,0
207,2012-05-04,0
208,2018-07-27,0
209,2019-01-27,0
210,2021-06-29,0
211,2016-03-22,0
212,2012-12-21,0
213,2019-06-22,0
214,2021-09-14,0
215,2020-05-13,0
216,2018-06-26,0
217,2020-12-17,0
218,2021-10-17,0
219,2017-06-18,0
220,2017-10-27,0
221,2015-08-08,0
222,2015-03-15,0
223,2016-07-13,0
224,2019-01-10,0
225,2014-09-18,0
226,2017-08-07,0
227,2014-11-01,0
228,2021-03-03,0
229,2019-05-08,0
230,2014-08-21,0
231,2017-05-05,0
232,2018-02-04,0
233,2016-08-28,0
234,2019-12-28,0
235,2019-10-17,0
236,2010-04-10,0
237,2010-07-11,0
238,2019-05-11,0
239,2020-03-09,0
240,2012-08-16,0
241,2017-08-26,0
242,2016-10-15,0
243,2020-08-14,0
244,2013-01-20,0
245,2019-11-16,0
246,2010-10-19,0
247,2021-11-25,0
248,2018-12-31,0
249,2015-09-21,0
250,2020-06-24,0
251,2016-06-10,0
252,2018-01-21,0
253,2014-09-20,0
254,2020-02-15,0
255,2020-06-22,0
256,2018-12-20,0
257,2020-01-26,0
258,2021-12-10,0
259,2011-08-26,0
260,2014-12-18,0
261,2010-09-04,0
262,2017-05-19,0
263,2019-09-17,0
264,2020-08-03,0
265,2017-03-28,0
266,2010-10-06,0
267,2017-03-30,0
268,2011-11-30,0
269,2011-07-19,0
270,2011-03-23,0
271,2015-04-10,0
272,2017-04-06,0
273,2019-04-24,0
274,2016-08-27,0
275,2011-04-25,0
276,2014-07-16,0
277,2010-11-20,0
278,2010-07-14,0
279,2010-01-18,0
280,2017-09-08,0
281,2021-08-04,0
282,2010-05-13,0
283,2014-05-29,0
284,2019-02-08,0
285,2010-03-08,0
286,2011-05-25,0
287,2012-09-09,0
288,2020-08-28,0
289,2021-09-23,0
290,2014-02-16,0
291,2015-06-09,0
292,2017-09-09,0
293,2013-12-15,0
294,2021-03-18,0
295,2017-07-31,0
296,2011-01-09,0
297,2016-01-23,0
298,2013-11-05,0
299,2015-03-07,0
300,2020-09-28,0
301,2018-04-30,0
302,2021-07-13,0
303,2011-11-10,0
304,2018-02-14,0
305,2012-04-28,0
306,2016-02-17,0
307,2016-06-29,0
308,2020-08-15,0
309,2016-09-02,0
310,2021-03-12,0
311,2013-07-23,0
312,2011-09-20,0
313,2014-07-08,0
314,2017-09-02,0
315,2010-12-12,0
316,2012-03-31,0
317,2012-05-17,0
318,2013-02-21,0
319,2020-04-02,0
320,2013-07-21,0
321,2020-03-03,0
322,2010-10-24,0
323,2019-10-31,0
324,2012-01-05,0
325,2011-08-02,0
326,2017-10-23,0
327,2016-11-22,0
328,2018-10-15,0
329,2010-12-21,0
330,2015-11-21,0
331,2019-02-21,0
332,2019-08-21,0
333,2013-10-29,0
334,2018-10-26,0
335,2017-08-17,0
336,2015-06-15,0
337,2015-06-24,0
338,2021-10-16,0
339,2018-03-19,0
340,2010-07-22,0
341,2015-05-15,0
342,2012-08-12,0
343,2020-11-22,0
344,2010-03-23,0
345,2011-02-03,0
346,2013-04-22,0
347,2018-09-15,0
348,2020-02-18,0
349,2020-11-11,0
350,2011-02-12,0
351,2013-11-15,0
352,2013-02-03,0
353,2019-10-29,0
354,2016-05-23,0
355,2016-03-30,0
356,2014-10-29,0
357,2019-07-04,0
358,2016-07-22,0
359,2010-10-14,0
360,2014-02-02,0
361,2021-09-29,0
362,2011-12-17,0
363,2017-04-28,0
364,2018-02-28,0
365,2020-05-27,0
366,2013-01-11,0
367,2012-10-26,0
368,2013-12-14,0
369,2010-07-26,0
370,2015-03-26,0
371,2016-05-14,0
372,2020-05-19,0
373,2010-05-26,0
374,2020-11-10,0
375,2013-09-09,0
376,2021-10-03,0
377,2015-03-16,0
378,2015-11-09,0
379,2015-11-29,0
380,2012-08-27,0
381,2015-08-13,0
382,2011-02-26,0
383,2010-05-07,0
384,2012-05-16,0
385,2018-03-24,0
386,2021-07-12,0
387,2019-05-09,0
388,2019-05-17,0
389,2014-04-08,0
390,2012-10-05,0
391,2019-04-01,0
392,2014-01-06,0
393,2020-06-29,0
