,Date,Fire
0,2012-08-18,1
1,2012-08-26,1
2,2012-11-15,1
3,2012-08-23,1
4,2021-08-21,1
5,2018-06-24,1
6,2020-12-14,1
7,2018-08-04,1
8,2016-09-13,1
9,2021-09-09,1
10,2018-07-26,1
11,2018-08-17,1
12,2021-08-13,1
13,2018-09-18,1
14,2014-07-12,1
15,2012-08-20,1
16,2012-09-10,1
17,2021-04-15,1
18,2018-08-22,1
19,2013-10-03,1
20,2018-08-15,1
21,2013-02-28,1
22,2021-07-05,1
23,2018-08-21,1
24,2019-11-22,1
25,2018-08-09,1
26,2013-09-04,1
27,2014-02-25,1
28,2021-09-08,1
29,2013-09-11,1
30,2012-01-16,1
31,2015-08-18,1
32,2020-10-25,1
33,2018-07-31,1
34,2011-01-20,1
35,2018-08-24,1
36,2014-08-08,1
37,2013-02-24,1
38,2018-08-05,1
39,2021-08-16,1
40,2018-08-28,1
41,2021-09-18,1
42,2017-09-28,1
43,2021-07-01,1
44,2021-08-24,1
45,2017-09-04,1
46,2021-10-12,1
47,2014-03-20,1
48,2018-08-02,1
49,2021-11-29,1
50,2013-04-20,1
51,2015-08-09,1
52,2020-12-23,1
53,2018-08-29,1
54,2018-08-11,1
55,2018-08-16,1
56,2011-10-26,1
57,2018-08-10,1
58,2018-07-27,1
59,2021-09-14,1
60,2014-07-17,1
61,2021-03-23,1
62,2016-11-02,1
63,2010-11-17,1
64,2013-02-17,1
65,2012-08-10,1
66,2014-02-24,1
67,2021-09-17,1
68,2019-12-28,1
69,2016-03-29,1
70,2021-03-02,1
71,2012-08-16,1
72,2021-08-08,1
73,2014-08-01,1
74,2010-11-15,1
75,2017-09-12,1
76,2017-09-06,1
77,2013-10-24,1
78,2018-11-05,1
79,2021-08-26,1
80,2021-12-10,1
81,2020-08-03,1
82,2010-06-08,1
83,2021-08-11,1
84,2012-09-12,1
85,2019-10-23,1
86,2021-07-04,1
87,2011-11-02,1
88,2021-09-05,1
89,2018-08-30,1
90,2019-04-25,1
91,2014-07-16,1
92,2021-08-04,1
93,2021-02-16,1
94,2014-05-29,1
95,2012-08-21,1
96,2021-09-23,1
97,2013-12-15,1
98,2020-09-28,1
99,2021-08-19,1
100,2012-04-28,1
101,2017-09-02,1
102,2014-02-20,1
103,2021-03-29,1
104,2017-05-15,1
105,2020-08-20,1
106,2014-10-24,1
107,2020-06-19,1
108,2012-08-12,1
109,2011-09-03,1
110,2018-09-02,1
111,2018-09-15,1
112,2020-02-18,1
113,2014-10-29,1
114,2016-04-18,1
115,2021-03-04,1
116,2021-08-18,1
117,2010-07-26,1
118,2013-07-09,1
119,2013-09-09,1
120,2021-11-08,1
121,2013-04-21,1
122,2012-08-27,1
123,2015-04-03,1
124,2021-08-30,1
125,2018-09-26,1
126,2011-11-04,1
127,2015-08-13,1
128,2010-05-07,1
129,2010-06-14,1
130,2012-05-16,1
131,2018-09-06,1
132,2015-08-20,1
133,2014-07-15,1
134,2014-07-13,1
135,2021-04-08,1
136,2014-03-19,1
137,2011-12-31,1
138,2012-08-13,1
139,2020-02-07,1
140,2018-08-19,1
141,2018-10-23,1
142,2016-03-02,1
143,2015-08-15,1
144,2015-10-26,1
145,2012-08-07,1
146,2019-06-03,1
147,2013-11-23,1
148,2021-08-23,1
149,2018-08-26,1
150,2020-11-20,1
151,2010-02-18,1
152,2018-09-13,1
153,2020-02-22,1
154,2011-11-07,1
155,2015-03-09,1
156,2018-08-06,1
157,2020-09-30,1
158,2012-09-02,1
159,2019-07-05,1
160,2021-11-16,1
161,2012-08-25,1
162,2014-07-18,1
163,2021-02-07,1
164,2021-09-07,1
165,2018-09-07,1
166,2021-12-01,1
167,2019-05-07,1
168,2014-02-22,1
169,2015-10-23,1
170,2017-07-13,1
171,2011-05-03,1
172,2021-08-12,1
173,2019-07-11,1
174,2021-08-14,1
175,2013-01-30,1
176,2021-11-28,1
177,2021-09-03,1
178,2021-09-10,1
179,2012-02-24,1
180,2018-08-03,1
181,2010-05-14,1
182,2013-12-13,1
183,2021-03-11,1
184,2019-05-02,1
185,2018-09-10,1
186,2021-08-22,1
187,2021-09-02,1
188,2018-08-08,1
189,2011-11-16,1
190,2017-09-01,1
191,2021-08-17,1
192,2021-09-26,1
193,2017-09-17,1
194,2017-10-30,1
195,2017-09-27,1
196,2021-07-03,1
197,2018-09-27,1
198,2015-11-23,1
199,2021-03-16,1
200,2021-09-04,1
201,2021-03-13,1
202,2021-09-16,1
203,2021-08-06,1
204,2013-11-07,1
205,2017-09-13,1
206,2021-08-20,1
207,2018-11-25,1
208,2013-11-25,1
209,2014-07-14,1
210,2011-10-14,1
211,2021-08-25,1
212,2014-09-04,1
213,2012-08-02,1
214,2017-09-05,1
215,2018-09-08,1
216,2014-10-22,1
217,2021-09-06,1
218,2018-09-20,1
219,2017-05-18,1
220,2019-08-22,1
221,2010-10-21,1
222,2013-11-14,1
223,2021-08-31,1
224,2018-08-13,1
225,2018-09-29,1
226,2020-04-24,1
227,2019-10-21,1
228,2021-08-29,1
229,2021-08-10,1
230,2012-11-06,1
231,2021-09-01,1
232,2011-10-12,1
233,2012-08-24,1
234,2012-08-09,1
235,2020-11-24,1
