,Date,Fire
0,2013-11-27,1
1,2018-07-13,1
2,2011-11-09,1
3,2011-03-01,1
4,2011-11-19,1
5,2012-04-09,1
6,2011-02-22,1
7,2012-11-15,1
8,2019-10-24,1
9,2018-11-30,1
10,2020-12-29,1
11,2012-09-14,1
12,2015-10-07,1
13,2019-11-12,1
14,2012-04-08,1
15,2016-02-15,1
16,2020-08-25,1
17,2021-08-21,1
18,2020-01-29,1
19,2010-03-11,1
20,2012-01-23,1
21,2013-01-29,1
22,2018-08-04,1
23,2010-05-16,1
24,2013-12-10,1
25,2021-01-01,1
26,2015-02-10,1
27,2020-09-29,1
28,2013-05-11,1
29,2013-10-07,1
30,2015-07-12,1
31,2015-08-10,1
32,2020-01-18,1
33,2021-03-06,1
34,2012-01-29,1
35,2010-12-23,1
36,2017-10-19,1
37,2016-01-15,1
38,2012-11-07,1
39,2010-09-17,1
40,2011-04-10,1
41,2010-08-10,1
42,2021-07-24,1
43,2020-02-20,1
44,2011-03-29,1
45,2017-04-05,1
46,2012-04-04,1
47,2019-03-24,1
48,2019-01-28,1
49,2010-10-25,1
50,2010-11-26,1
51,2012-04-07,1
52,2015-02-04,1
53,2019-02-19,1
54,2017-04-19,1
55,2010-04-01,1
56,2015-04-11,1
57,2019-03-19,1
58,2018-11-04,1
59,2011-04-22,1
60,2014-07-27,1
61,2014-01-09,1
62,2014-04-26,1
63,2019-09-07,1
64,2015-07-11,1
65,2021-08-17,1
66,2013-02-20,1
67,2011-05-30,1
68,2011-12-18,1
69,2012-01-17,1
70,2013-03-02,1
71,2015-01-05,1
72,2016-02-13,1
73,2018-12-29,1
74,2015-08-28,1
75,2011-10-02,1
76,2010-12-31,1
77,2018-08-20,1
78,2021-08-13,1
79,2021-08-28,1
80,2012-01-25,1
81,2014-01-07,1
82,2013-08-03,1
83,2017-10-15,1
84,2020-08-19,1
85,2010-06-01,1
86,2010-01-10,1
87,2012-04-03,1
88,2010-06-06,1
89,2010-06-09,1
90,2017-01-16,1
91,2014-10-21,1
92,2010-02-02,1
93,2018-02-20,1
94,2020-05-02,1
95,2013-12-30,1
96,2010-11-14,1
97,2012-12-31,1
98,2010-01-28,1
99,2016-03-27,1
100,2013-02-05,1
101,2013-12-01,1
102,2017-09-18,1
103,2017-12-30,1
104,2013-02-18,1
105,2019-11-13,1
106,2021-10-06,1
107,2013-04-06,1
108,2011-03-11,1
109,2011-01-26,1
110,2013-12-27,1
111,2010-02-09,1
112,2013-02-28,1
113,2011-11-11,1
114,2011-04-04,1
115,2011-06-16,1
116,2018-12-08,1
117,2010-11-13,1
118,2014-02-18,1
119,2020-01-19,1
120,2011-02-23,1
121,2015-05-17,1
122,2014-08-04,1
123,2013-04-29,1
124,2010-05-31,1
125,2011-09-16,1
126,2014-11-04,1
127,2019-01-26,1
128,2018-01-31,1
129,2010-05-28,1
130,2015-05-13,1
131,2018-08-09,1
132,2018-11-24,1
133,2014-12-07,1
134,2019-05-24,1
135,2021-02-08,1
136,2014-06-14,1
137,2016-11-29,1
138,2011-10-15,1
139,2018-07-30,1
140,2013-03-07,1
141,2011-05-22,1
142,2014-01-08,1
143,2010-03-10,1
144,2011-05-07,1
145,2019-05-13,1
146,2018-05-31,1
147,2011-11-13,1
148,2017-01-29,1
149,2015-03-30,1
150,2015-01-11,1
151,2020-03-27,1
152,2021-11-08,1
153,2021-09-08,1
154,2012-11-02,1
155,2011-01-02,1
156,2020-10-08,1
157,2018-02-24,1
158,2021-11-03,1
159,2019-07-25,1
160,2019-10-08,1
161,2018-01-16,1
162,2013-02-04,1
163,2013-01-04,1
164,2016-01-26,1
165,2021-03-17,1
166,2010-05-18,1
167,2012-03-17,1
168,2014-07-15,1
169,2014-10-22,1
170,2021-01-21,1
171,2010-11-28,1
172,2020-09-10,1
173,2013-01-22,1
174,2017-11-07,1
175,2016-03-19,1
176,2020-02-16,1
177,2016-02-16,1
178,2020-04-25,1
179,2021-08-16,1
180,2018-10-28,1
181,2019-01-03,1
182,2013-05-15,1
183,2020-11-14,1
184,2010-03-09,1
185,2020-03-06,1
186,2010-04-19,1
187,2013-11-26,1
188,2010-02-13,1
189,2016-02-14,1
190,2020-09-09,1
191,2021-01-05,1
192,2010-12-07,1
193,2020-05-10,1
194,2020-09-12,1
195,2020-02-04,1
196,2016-06-08,1
197,2021-07-25,1
198,2021-08-07,1
199,2016-03-26,1
200,2020-04-29,1
201,2018-09-12,1
202,2019-11-14,1
203,2011-04-14,1
204,2017-04-18,1
205,2011-03-04,1
206,2012-02-21,1
207,2013-02-02,1
208,2013-02-16,1
209,2015-02-13,1
210,2018-05-10,1
211,2021-01-15,1
212,2010-01-27,1
213,2020-08-21,1
214,2020-12-20,1
215,2021-07-23,1
216,2013-03-05,1
217,2010-03-01,1
218,2015-02-11,1
219,2018-03-29,1
220,2020-10-04,1
221,2017-03-16,1
222,2010-04-06,1
223,2014-12-14,1
224,2013-11-06,1
225,2014-02-11,1
226,2010-02-08,1
227,2012-02-28,1
228,2010-11-03,1
229,2021-08-10,1
230,2019-06-25,1
231,2016-06-05,1
232,2017-04-09,1
233,2018-01-02,1
234,2012-08-15,1
235,2013-11-11,1
236,2015-02-12,1
237,2021-10-13,1
238,2021-08-15,1
239,2015-09-30,1
240,2018-09-07,1
241,2013-01-01,1
242,2015-01-10,1
243,2018-12-07,1
244,2018-07-28,1
245,2011-12-29,1
246,2017-03-08,1
247,2010-11-04,1
248,2019-10-16,1
249,2013-03-14,1
250,2015-02-03,1
251,2010-03-14,1
252,2017-02-07,1
253,2018-11-13,1
254,2011-04-16,1
255,2010-06-05,1
256,2012-04-02,1
257,2018-05-01,1
258,2011-02-04,1
259,2017-04-22,1
260,2012-05-21,1
261,2010-10-15,1
262,2018-12-19,1
263,2012-04-17,1
264,2016-01-20,1
265,2017-03-10,1
266,2019-07-09,1
267,2016-01-02,1
268,2010-01-14,1
269,2014-11-18,1
270,2017-06-07,1
271,2020-04-22,1
272,2013-03-24,1
273,2013-03-13,1
274,2017-01-28,1
275,2017-09-16,1
276,2010-02-25,1
277,2021-08-12,1
278,2013-09-28,1
279,2016-03-25,1
280,2014-01-28,1
281,2018-03-30,1
282,2020-08-23,1
283,2013-09-22,1
284,2015-09-13,1
285,2017-11-24,1
286,2012-05-02,1
287,2012-02-06,1
288,2021-08-14,1
289,2018-02-01,1
290,2016-12-25,1
291,2021-08-08,1
292,2013-12-08,1
293,2015-01-12,1
294,2011-05-11,1
295,2016-02-28,1
296,2018-01-23,1
297,2011-03-14,1
298,2014-05-15,1
299,2013-03-30,1
300,2011-12-27,1
